Taber,8428,49.7860,-112.1466
Whitecourt,10204,54.1425,-115.6858
Drayton Valley,7235,53.2228,-114.9766
Bonnyville,5975,54.2670,-110.7395
Edson,8414,53.5813,-116.4369
Stettler,5952,52.3217,-112.7200
Vancouver,631486,49.2827,-123.1207
Surrey,517887,49.1913,-122.8490
Burnaby,249197,49.2488,-122.9805
Richmond,198309,49.1666,-123.1336
Abbotsford,141397,49.0504,-122.3045
Coquitlam,139284,49.2838,-122.7932
Kelowna,143000,49.8879,-119.4960
Langley,132603,49.1044,-122.6615
Saanich,114148,48.4844,-123.3796
Delta,102238,49.0955,-123.0265
Kamloops,90280,50.6745,-120.3273
Nanaimo,90504,49.1659,-123.9401
Victoria,85792,48.4284,-123.3656
Chilliwack,83788,49.1579,-121.9515
Maple Ridge,82256,49.2192,-122.5982
Prince George,74003,53.9171,-122.7497
Port Coquitlam,58612,49.2620,-122.7811
New Westminster,71012,49.2057,-122.9109
Vernon,40116,50.2670,-119.2720
Mission,38833,49.1333,-122.3113
West Vancouver,42473,49.3285,-123.1590
Courtenay,25599,49.6841,-124.9905
Campbell River,35138,50.0331,-125.2733
Penticton,33761,49.4991,-119.5937
Cranbrook,20047,49.5120,-115.7694
White Rock,19952,49.0250,-122.8026
Salmon Arm,17706,50.7001,-119.2836
Port Moody,33551,49.3235,-122.8650
Squamish,19512,49.7016,-123.1550
Fort St. John,20155,56.2460,-120.8463
Williams Lake,10508,52.1415,-122.1453
Powell River,13157,49.8351,-124.5248
Dawson Creek,12978,55.7606,-120.2384
Terrace,11643,54.5182,-128.6034
Prince Rupert,12220,54.3121,-130.3200
Parksville,12514,49.3198,-124.3136
Quesnel,9879,52.9784,-122.4938
Castlegar,8039,49.3234,-117.6593
Vernon,40116,50.2670,-119.2720
Montreal,1704694,45.5017,-73.5673
Quebec City,542298,46.8139,-71.2082
Laval,422993,45.6066,-73.7124
Gatineau,276245,45.4765,-75.7013
Longueuil,239700,45.5312,-73.5123
Sherbrooke,161323,45.4009,-71.8824
Saguenay,145949,48.4168,-71.0657
Trois-Rivières,134413,46.3420,-72.5471
Terrebonne,119944,45.6948,-73.6472
Saint-Jean-sur-Richelieu,98036,45.3070,-73.2623
Brossard,85721,45.4670,-73.4508
Repentigny,84285,45.7429,-73.4540
Drummondville,77306,45.8833,-72.4833
Saint-Jérôme,74346,45.7733,-74.0036
Granby,66222,45.4039,-72.7324
Blainville,63703,45.6705,-73.8822
Rimouski,48664,48.4500,-68.5230
Saint-Hyacinthe,56936,45.6300,-72.9657
Shawinigan,50060,46.5667,-72.7500
Dollard-des-Ormeaux,49637,45.4945,-73.8242
Val-d'Or,32491,48.1000,-77.7833
Rouyn-Noranda,42334,48.2361,-79.0262
Boucherville,43410,45.5960,-73.4328
Châteauguay,47906,45.3603,-73.7494
Mascouche,51183,45.7495,-73.6001
Mirabel,50513,45.6508,-74.0825
Victoriaville,45309,46.0500,-71.9667
Sorel-Tracy,34600,46.0417,-73.1158
Joliette,20880,46.0167,-73.4333
Alma,30776,48.5500,-71.6500
Salaberry-de-Valleyfield,40077,45.2501,-74.1328
Sept-Îles,25686,50.2167,-66.3833
Thetford Mines,25403,46.0935,-71.3055
Magog,25358,45.2667,-72.1500
Sainte-Julie,30104,45.5828,-73.3323
Lachenaie,29161,45.7167,-73.4825
Rivière-du-Loup,20118,47.8361,-69.5333
Saint-Georges,32966,46.1167,-70.6667
La Tuque,11012,47.4333,-72.7833
Cowansville,13127,45.2000,-72.7500
Amqui,6282,48.4667,-67.4333
Halifax,403131,44.6488,-63.5752
Cape Breton,94285,46.1368,-60.1942
Truro,12261,45.3649,-63.2793
New Glasgow,9075,45.5890,-62.6455
Glace Bay,19076,46.1965,-59.9571
Sydney,29904,46.1361,-60.1942
Amherst,9413,45.8245,-64.2073
Bridgewater,8532,44.3784,-64.5181
Yarmouth,6518,43.8372,-66.1174
Kentville,6271,45.0771,-64.4951
Antigonish,5002,45.6206,-61.9982
Windsor,3648,44.9803,-64.1295
Lunenburg,2263,44.3770,-64.3180
Digby,2060,44.6222,-65.7605
Shelburne,1743,43.7602,-65.3195
Wolfville,4195,45.0918,-64.3596
Stellarton,4208,45.5569,-62.6572
Springhill,2697,45.6502,-64.0483
Middleton,1832,44.9412,-65.0706
Port Hawkesbury,3214,45.6185,-61.3542
Mahone Bay,1036,44.4485,-64.3838
Pictou,3186,45.6781,-62.7116
Chester,2315,44.5403,-64.2454
Annapolis Royal,491,44.7435,-65.5150
Berwick,2509,45.0406,-64.7311
Canso,806,45.3370,-61.0034
